"Región","Abreviatura","Latitud","Longitud"
"Región de Antofagasta","AN","-23,6041314","-69,0842783"
"Región de Arica y Parinacota","AP","-18,5713496","-69,7884774"
"Región de Atacama","AT","-27,5571783","-70,0156882"
"Región de Aysén del Gral. Carlos Ibáñez del Campo","AI","-45,57","-72,06611"
"Región de Coquimbo","CO","-30,7546652","-70,9005536"
"Región de La Araucanía","AR","-38,6678955","-72,2610066"
"Región de Los Lagos","LL","-42,300844","-73,105387"
"Región de Los Ríos","LR","-39,9742911","-72,667478"
"Región de Magallanes y La Antártica Chilena","MA","-53,1330959","-70,9251585"
"Región de Ñuble","NB","-36,6331577","-71,9384821"
"Región de Tarapacá","TA","-20,1636672","-69,5463448"
"Región de Valparaíso","VA","-32,5976089","-70,8529753"
"Región del Biobío","BI","-37,3391407","-72,4106825"
"Región del Libertador Gral. Bernardo O'Higgins","LI","-34,371944","-71,124528"
"Región del Maule","ML","-35,5972284","-71,48868"
"Región Metropolitana de Santiago","RM","-33,5739341","-70,6205518"
"Total país","CH","-30,619625","-70,940955"
